"brain__DBA.2J"	"colon__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"brain__CD1"	"colon__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"metadata"
"Aqp8"	0	426	7	4927	0	0	475	12	2834	0	0	229	6	1882	0	"aquaporin 8"
"Slc5a11"	46	2367	1513	8	5	17	5331	1483	5	9	9	2515	1282	0	3	"solute carrier family 5 (sodium/glucose cotransporter), member 11"
"Dkkl1"	232	12	1	0	21	333	31	1	1	10	425	23	47	0	12	"dickkopf-like 1"
"Abcc6"	27	536	271	5464	21	37	398	327	13022	4	69	210	144	6703	2	"ATP-binding cassette, sub-family C (CFTR/MRP), member 6"
"Scnn1b"	5	1	703	0	3282	3	6	905	1	1757	8	2	927	0	3089	"sodium channel, nonvoltage-gated 1 beta"
"Gp2"	1	139	77	0	23	0	20691	81	0	24	0	32870	75	0	3	"glycoprotein 2 (zymogen granule membrane)"
"Pdilt"	1	5	95	1079	0	0	11	70	494	0	0	13	183	1485	0	"protein disulfide isomerase-like, testis expressed"
"Bmx"	30	66	28	7	541	21	76	23	14	233	21	81	18	12	246	"BMX non-receptor tyrosine kinase"
"Adrb3"	31	10	5	331	153	29	18	61	392	147	24	19	39	1157	387	"adrenergic receptor, beta 3"
"Mmp2"	92	993	178	79	2385	78	1386	205	109	1721	69	1244	205	128	5956	"matrix metallopeptidase 2"
"Drc7"	34	0	0	0	439	240	0	0	0	380	78	0	14	0	314	"dynein regulatory complex subunit 7"
"Tmed6"	1	76	206	13	11	4	1154	289	2	9	2	1527	243	17	9	"transmembrane p24 trafficking protein 6"
"Ldhd"	260	169	46749	8152	183	288	134	27551	8631	102	292	192	57409	9731	124	"lactate dehydrogenase D"
"Acta1"	113	101	1	1	2	163	1359	2	1	1	191	225	8	46	34	"actin alpha 1, skeletal muscle"
"St3gal4"	478	238	275	2992	1125	391	34407	220	2647	931	377	298	179	2567	990	"ST3 beta-galactoside alpha-2,3-sialyltransferase 4"
"Bco2"	36	1364	225	379	16	66	3414	524	1007	50	31	1167	246	165	12	"beta-carotene oxygenase 2"
"Slc37a2"	39	7295	33	41	166	99	1740	104	89	120	93	8941	39	87	131	"solute carrier family 37 (glycerol-3-phosphate transporter), member 2"
"Nnmt"	3	4	7	63	40	14	39	34	5287	108	11	13	10	838	36	"nicotinamide N-methyltransferase"
"Chrna3"	126	59	0	0	0	35	46	0	0	0	32	85	2	0	1	"cholinergic receptor, nicotinic, alpha polypeptide 3"
"Cyp1a1"	4	11067	13	66	1004	0	5718	22	48	2630	2	163	24	87	559	"cytochrome P450, family 1, subfamily a, polypeptide 1"
"Fam83b"	7	917	8	0	93	1	233	3	0	65	2	121	2	3	35	"family with sequence similarity 83, member B"
"Hcrtr2"	138	0	0	15	0	41	2	0	44	9	61	0	0	87	1	"hypocretin (orexin) receptor 2"
"Ttc21a"	29	2	3	2	940	96	0	3	2	635	47	0	28	3	714	"tetratricopeptide repeat domain 21A"
"Oas3"	0	366	2	5	45	2	1504	7	64	69	0	579	8	49	64	"2'-5' oligoadenylate synthetase 3"
"Chrm1"	2588	57	9	7	36	3641	31	6	11	22	4447	35	10	23	26	"cholinergic receptor, muscarinic 1, CNS"
"Cyp2c38"	0	33	9	510	0	0	97	2	711	0	0	29	2	972	0	"cytochrome P450, family 2, subfamily c, polypeptide 38"
"S100b"	4107	38	7	2	46	2278	49	20	0	31	1753	94	18	6	14	"S100 protein, beta polypeptide, neural"
"Fa2h"	1356	4	193	2	13	687	3	223	2	1	396	0	158	3	10	"fatty acid 2-hydroxylase"
"Gabrb3"	7310	11	3341	5	1	7469	12	579	49	0	7513	13	1788	90	0	"gamma-aminobutyric acid (GABA) A receptor, subunit beta 3"
"Emx1"	124	0	530	1	0	151	0	208	0	0	232	2	491	3	0	"empty spiracles homeobox 1"
"Edil3"	5183	20	64	1	463	4233	8	54	0	441	2705	10	14	0	386	"EGF-like repeats and discoidin I-like domains 3"
"Hsd17b13"	2	2051	53	22632	1	6	1359	4	9181	0	5	4078	35	13208	1	"hydroxysteroid (17-beta) dehydrogenase 13"
"Cacna1a"	3377	126	68	96	85	3688	230	62	32	46	3809	242	34	189	86	"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit"
"Neurod1"	275	75	0	1	0	230	46	0	0	0	348	44	0	0	0	"neurogenic differentiation 1"
"Dnai2"	45	10	2	1	408	78	14	6	2	286	23	2	12	0	274	"dynein axonemal intermediate chain 2"
"Dio1"	0	422	279	1089	14	0	2592	510	7467	13	0	1211	450	8504	5	"deiodinase, iodothyronine, type I"
"Pygo1"	1636	45	31	29	428	1335	43	31	9	386	1594	31	18	3	307	"pygopus 1"
"Zfr2"	938	116	56	11	92	1544	245	85	26	78	1604	210	77	70	145	"zinc finger RNA binding protein 2"
"Kcnh4"	141	2	108	0	14	440	0	87	5	9	393	15	158	3	21	"potassium voltage-gated channel, subfamily H (eag-related), member 4"
"Abca17"	11	1	9	7	505	47	2	8	0	82	20	6	81	32	83	"ATP-binding cassette, sub-family A (ABC1), member 17"
"Prdm8"	300	0	0	1	140	280	2	0	0	56	442	0	0	0	119	"PR domain containing 8"
"Tnni3"	10	11	2	4	360	29	102	14	9	911	8	71	2	6	825	"troponin I, cardiac 3"
"Muc20"	0	18	287	0	442	0	17	1265	1	154	0	2	1100	0	328	"mucin 20"
"Isg15"	27	262	26	110	64	25	1544	104	450	305	14	508	53	183	112	"ISG15 ubiquitin-like modifier"
"Rnase1"	60	396	28	0	58	9	114379	0	0	10	9	167012	45	0	20	"ribonuclease, RNase A family, 1 (pancreatic)"
"Dgkb"	2881	84	48	0	31	4736	77	46	0	36	3210	98	39	12	34	"diacylglycerol kinase, beta"
"Dipk1b"	542	25	30	0	73	574	40	42	11	68	675	65	69	17	59	"divergent protein kinase domain 1B"
"Leap2"	5	1001	4	2109	5	9	3039	2	1245	8	3	1169	2	612	3	"liver-expressed antimicrobial peptide 2"
"Fstl4"	369	14	0	1	33	579	17	0	0	13	500	38	2	0	23	"follistatin-like 4"
"Slc2a13"	3254	28	160	15	117	3249	9	104	9	103	3169	21	199	6	142	"solute carrier family 2 (facilitated glucose transporter), member 13"
"H2-Aa"	22	3937	1122	465	8874	29	34569	2167	1737	12436	11	11773	698	383	4873	"histocompatibility 2, class II antigen A, alpha"
"Arhgap33"	1993	98	79	7	244	4364	119	95	32	97	4051	146	156	41	413	"Rho GTPase activating protein 33"
"Xpnpep2"	11	1822	244	0	279	9	1831	325	1	250	20	502	203	0	360	"X-prolyl aminopeptidase (aminopeptidase P) 2, membrane-bound"
"Sstr4"	187	5	2	0	89	211	2	3	0	25	358	2	6	0	64	"somatostatin receptor 4"
"Scd1"	9006	225	2044	113141	28205	3688	818	18788	109603	30214	2931	725	3332	22258	11877	"stearoyl-Coenzyme A desaturase 1"
"Psd"	3701	265	80	18	94	5547	424	89	58	89	7202	565	124	35	80	"pleckstrin and Sec7 domain containing"
"Cfap61"	103	3	15	0	517	91	2	11	1	184	64	0	28	0	165	"cilia and flagella associated protein 61"
"Il22ra1"	1	1249	132	126	39	0	538	87	137	13	0	352	112	186	28	"interleukin 22 receptor, alpha 1"
"Zfyve28"	898	27	11	2	85	1217	32	4	5	61	1203	56	2	6	132	"zinc finger, FYVE domain containing 28"
"Kctd8"	238	0	2	0	61	94	0	3	0	41	116	0	2	0	38	"potassium channel tetramerisation domain containing 8"
"Ackr1"	529	39	1	127	8	708	29	2	27	5	408	33	0	75	5	"atypical chemokine receptor 1 (Duffy blood group)"
"Itprid1"	44	14	0	0	610	38	12	1	0	345	43	2	0	0	158	"ITPR interacting domain containing 1"
"Dnah10"	64	26	18	0	733	97	3	20	1	512	95	6	41	0	411	"dynein, axonemal, heavy chain 10"
"Rapgefl1"	2944	719	67	42	113	3733	700	92	29	61	5263	733	108	55	115	"Rap guanine nucleotide exchange factor (GEF)-like 1"
"Dlec1"	58	10	1111	23	349	89	6	1556	101	227	70	8	2005	41	250	"deleted in lung and esophageal cancer 1"
"Notch3"	462	249	537	143	1622	359	233	639	243	892	274	438	988	186	5391	"notch 3"
"Gstp2"	4	180	4	175	2	2	501	11	116	24	0	110	2	73	16	"glutathione S-transferase, pi 2"
"Serpinf2"	4	51	15283	35933	3	4	85	10464	44422	3	14	67	16214	44170	9	"serine (or cysteine) peptidase inhibitor, clade F, member 2"
"Pdzk1"	6	2161	15016	1353	0	8	3009	14373	1218	1	8	1619	23439	1531	0	"PDZ domain containing 1"
"Foxq1"	25	781	115	1990	52	8	254	109	128	51	26	629	77	128	68	"forkhead box Q1"
"Gdf15"	0	7	117	53	14	2	12	15	384	10	0	13	81	52	32	"growth differentiation factor 15"
"Srd5a2"	4	3	1253	120	5	0	0	299	85	0	0	0	523	96	0	"steroid 5 alpha-reductase 2"
"Saxo2"	72	12	38	10	473	71	8	47	21	308	52	6	22	0	186	"stabilizer of axonemal microtubules 2"
"Colec10"	2	259	1	2447	6	1	111	0	929	3	0	117	0	1117	4	"collectin sub-family member 10"
"Vill"	12	5	2500	19	255	225	71	3235	41	362	298	154	4949	55	302	"villin-like"
"Slco4a1"	46	283	273	5	44	67	182	976	6	51	44	148	941	0	73	"solute carrier organic anion transporter family, member 4a1"
"Marchf4"	391	12	0	0	155	415	20	0	0	73	474	17	0	0	124	"membrane associated ring-CH-type finger 4"
"Wdr17"	815	1	38	0	7	904	3	32	0	6	863	4	14	0	5	"WD repeat domain 17"
"Rsph4a"	103	3	7	1	618	200	9	11	3	400	69	2	24	3	328	"radial spoke head 4 homolog A (Chlamydomonas)"
"Dusp26"	1152	5	7	0	22	1630	244	12	0	43	1265	25	26	0	13	"dual specificity phosphatase 26 (putative)"
"Kmo"	5	141	3223	14322	174	13	191	3973	14346	265	5	238	3338	13707	118	"kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)"
"Slc39a5"	14	3106	602	24	7	13	3608	606	37	6	15	4503	615	20	9	"solute carrier family 39 (metal ion transporter), member 5"
"Slc25a24"	64	3844	144	68	892	61	2155	143	60	651	53	1506	93	49	920	"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24"
"Plppr2"	2210	51	95	253	189	3018	45	82	421	61	3716	77	79	336	255	"phospholipid phosphatase related 2"
"Slc26a7"	96	1	199	0	6	36	0	80	0	0	49	0	28	0	0	"solute carrier family 26, member 7"
"Slco4c1"	119	12	215	0	1168	71	9	520	2	917	67	13	10	0	744	"solute carrier organic anion transporter family, member 4C1"
"Foxa3"	0	208	3	2766	17	0	402	2	2103	1	0	406	2	4472	7	"forkhead box A3"
"Mill2"	46	87	94	19	614	74	168	233	59	988	99	358	193	145	2647	"MHC I like leukocyte 2"
"Adgrf1"	2	49	35	359	0	3	17	119	888	1	0	6	146	600	0	"adhesion G protein-coupled receptor F1"
"Serpina3h"	3	16	31	91	293	2	6	0	4	22	17	42	18	145	360	"serine (or cysteine) peptidase inhibitor, clade A, member 3H"
"H2-Ob"	5	335	19	27	367	10	683	55	42	1415	17	731	20	26	236	"histocompatibility 2, O region beta locus"
"Sdk2"	638	78	51	6	31	846	45	61	20	18	972	48	83	12	220	"sidekick cell adhesion molecule 2"
"Slco1a1"	1	0	25484	47636	0	0	0	13557	13391	0	0	0	17813	19981	0	"solute carrier organic anion transporter family, member 1a1"
"Rassf4"	726	665	127	1025	1650	210	507	139	254	1008	255	398	130	11158	1241	"Ras association (RalGDS/AF-6) domain family member 4"
"Agps"	1400	870	19582	639	1798	1090	644	10568	471	1554	1380	917	11198	557	1287	"alkylglycerone phosphate synthase"
"Frmpd3"	1158	1	170	0	6	777	3	99	0	1	1114	4	154	0	5	"FERM and PDZ domain containing 3"
"Nek10"	123	2245	2	1	104	196	17	3	0	125	134	135	0	0	44	"NIMA (never in mitosis gene a)- related kinase 10"
"Trim46"	1033	109	96	7	105	1887	119	64	14	83	2009	260	105	6	216	"tripartite motif-containing 46"
"Ifi209"	0	30	2	4	66	0	120	24	41	403	0	50	0	3	57	"interferon activated gene 209"
"Tmem221"	1	6	26	5	18	1	62	83	14	296	0	54	35	6	28	"transmembrane protein 221"
"Col6a6"	29	6	2434	23	42	16	20	108	23	10	53	23	1759	64	54	"collagen, type VI, alpha 6"
"Rtn4r"	861	21	88	0	1	1062	83	46	1	0	1514	48	116	0	8	"reticulon 4 receptor"
"Gimap7"	0	145	3	8	41	0	351	11	15	117	0	544	8	6	73	"GTPase, IMAP family member 7"
"Bmerb1"	4822	4	25	6	2	5035	3	10	5	1	5066	8	170	32	0	"bMERB domain containing 1"
"S1pr4"	9	38	13	12	251	4	60	18	18	399	11	148	18	3	395	"sphingosine-1-phosphate receptor 4"
"Nxpe4"	228	7	11	2	53	373	52	91	21	682	225	4	16	0	31	"neurexophilin and PC-esterase domain family, member 4"
"Rnf208"	1746	25	188	1	39	1513	57	147	2	22	1332	33	199	0	39	"ring finger protein 208"
"Cfap43"	74	7	4	16	1424	119	14	12	2	1147	66	15	37	15	596	"cilia and flagella associated protein 43"
"Tubb2b"	508	60	32	1	25	1491	180	93	4	71	371	54	65	0	34	"tubulin, beta 2B class IIB"
"Nyap1"	1267	254	57	2	18	1515	179	75	13	22	2012	329	126	3	48	"neuronal tyrosine-phosphorylated phosphoinositide 3-kinase adaptor 1"
"Penk"	886	31	17	1	79	2351	63	57	0	41	694	158	63	3	73	"preproenkephalin"
"Kcnrg"	36	18	46	27	439	35	8	23	40	210	28	8	10	15	162	"potassium channel regulator"
"Arsj"	42	8	6	0	152	76	3	3	0	13	50	8	4	0	161	"arylsulfatase J"
"Vwa5b2"	986	104	2	0	7	1498	111	1	1	4	1991	148	2	0	2	"von Willebrand factor A domain containing 5B2"
"Tent5b"	5	24	135	1	525	2	34	59	2	218	5	92	132	0	590	"terminal nucleotidyltransferase 5B"
"Nxph3"	624	5	46	0	73	487	6	38	1	102	776	6	28	0	73	"neurexophilin 3"
"Cldn4"	0	1820	208	1	110	0	1181	378	2	79	0	1169	428	0	67	"claudin 4"
"Ankfn1"	144	1	0	0	78	230	0	0	0	45	76	0	4	0	13	"ankyrin-repeat and fibronectin type III domain containing 1"
"Tmem229a"	2540	29	8579	15	5	1228	20	6570	8	0	1464	29	6820	26	3	"transmembrane protein 229A"
"Eno4"	48	5	14	10	292	57	2	9	5	303	46	10	6	12	181	"enolase 4"
"Ccdc187"	144	39	1	2	1176	317	28	3	1	676	63	50	20	0	447	"coiled-coil domain containing 187"
"Arxes2"	853	8	10	5	145	329	5	27	1	200	312	27	14	0	106	"adipocyte-related X-chromosome expressed sequence 2"
"Depp1"	9	34	103	899	1450	6	42	127	4500	567	6	56	61	1862	1091	"DEPP1 autophagy regulator"
"Rpl29"	13	24	24	32	16	145	598	180	249	203	11	27	16	9	18	"ribosomal protein L29"
"Rnf24"	975	146	7200	187	197	901	80	2493	204	93	1143	44	2753	444	181	"ring finger protein 24"
"Gpr137c"	1152	14	29	17	69	824	23	24	18	48	862	21	22	49	108	"G protein-coupled receptor 137C"
"Fut4"	11	966	29	1	180	4	492	42	3	166	5	825	45	6	114	"fucosyltransferase 4"
"Upk1b"	19	67	49	12	235	39	103	107	13	938	14	58	118	9	256	"uroplakin 1B"
"Glp2r"	114	372	1	1	0	68	250	0	1	1	60	198	0	0	0	"glucagon-like peptide 2 receptor"
"Ankrd55"	185	18	22	617	60	88	43	5	9	3	79	13	2	58	8	"ankyrin repeat domain 55"
"Prdx6b"	1	1	0	0	252	1	0	0	0	0	47	71	75	365	2	"peroxiredoxin 6B"
"Kcnk12"	84	1	1	0	32	73	0	0	0	9	139	0	0	0	33	"potassium channel, subfamily K, member 12"
"Eif5a2"	2278	69	171	18	289	1443	31	108	6	195	1137	33	93	3	244	"eukaryotic translation initiation factor 5A2"
"Zfp831"	545	87	5	4	90	873	74	4	10	154	989	108	6	3	79	"zinc finger protein 831"
"Ftl1"	102	853	1671	5192	427	426	7272	4608	25620	4569	73	617	381	2358	658	"ferritin light polypeptide 1"
"Clrn3"	0	5296	987	1	0	0	5196	1421	0	0	0	3288	1398	0	0	"clarin 3"
"Rtn4rl2"	226	19	7	0	5	291	34	7	5	4	426	31	16	6	40	"reticulon 4 receptor-like 2"
"P4ha3"	87	7	1	2	32	96	2	3	0	10	168	17	6	0	60	"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III"
"Sv2c"	2329	56	2	1	13	1369	68	12	4	5	685	13	0	0	12	"synaptic vesicle glycoprotein 2c"
"Ffar2"	1	124	1	1	38	1	203	5	3	31	0	260	2	3	91	"free fatty acid receptor 2"
"Pcdh19"	1771	348	40	2	90	1878	146	50	1	144	1829	90	34	3	143	"protocadherin 19"
"Gm11437"	18	615	0	141	1	14	368	1	143	5	26	229	0	104	1	"predicted gene 11437"
"Fam181b"	164	1	6	2	36	87	0	6	1	28	96	4	4	0	36	"family with sequence similarity 181, member B"
"Lax1"	7	363	37	4	118	9	694	19	17	288	6	798	10	17	126	"lymphocyte transmembrane adaptor 1"
"Foxo6"	126	31	6	0	31	153	22	2	2	20	344	23	4	0	62	"forkhead box O6"
"Ppp1r36"	23	0	28	7	208	49	0	6	0	233	37	2	20	3	119	"protein phosphatase 1, regulatory subunit 36"
"Cemip"	511	107	8	0	11	511	85	11	0	37	695	92	8	0	9	"cell migration inducing protein, hyaluronan binding"
"Oas1a"	1	83	10	13	27	3	653	38	53	85	2	248	4	38	32	"2'-5' oligoadenylate synthetase 1A"
"Dnah6"	199	14	5	1	1467	113	18	3	1	1057	252	4	24	0	495	"dynein, axonemal, heavy chain 6"
"Myh7"	39	3	1	1	521	224	2	5	0	297	58	25	4	3	795	"myosin, heavy polypeptide 7, cardiac muscle, beta"
"9030619P08Rik"	0	5	229	152	1	1	17	687	201	0	0	10	112	67	0	"lymphocyte antigen 6 complex pseudogene"
"Adgrg4"	0	125	13	0	0	0	83	68	0	3	0	60	39	0	0	"adhesion G protein-coupled receptor G4"
"Slc51b"	1	819	491	23	6	0	2461	406	6	10	0	552	396	6	19	"solute carrier family 51, beta subunit"
"C1ra"	6	112	98	3331	318	17	339	188	6658	515	5	225	69	3776	484	"complement component 1, r subcomponent A"
"Fat2"	200	1	52	0	213	6	3	33	0	55	9	4	35	0	80	"FAT atypical cadherin 2"
"Gucy2g"	102	6	14	4	24	159	2	55	0	5	251	2	45	0	15	"guanylate cyclase 2g"
"B4galnt4"	1235	297	70	0	11	1954	408	31	7	8	2304	406	166	0	13	"beta-1,4-N-acetyl-galactosaminyl transferase 4"
"Cyp3a11"	0	26687	1	226692	0	0	37235	2	87268	0	0	13385	0	89155	0	"cytochrome P450, family 3, subfamily a, polypeptide 11"
"Rdh9"	1	53	1	96	0	0	52	1	214	0	0	15	2	81	0	"retinol dehydrogenase 9"
"Apol9a"	1	91	5	334	3	0	1161	12	1349	6	2	292	2	1140	5	"apolipoprotein L 9a"
"Gsta2"	1	207	14	240	31	1	89	807	383	43	0	1148	16	116	8	"glutathione S-transferase, alpha 2 (Yc2)"
"Gda"	5970	48904	306	1230	904	7945	36813	327	1093	931	7891	14269	35	1505	486	"guanine deaminase"
"Rad51b"	13	63	13	444	192	7	60	13	6	76	8	56	22	9	30	"RAD51 paralog B"
"Pde1a"	4752	114	1449	123	125	6409	97	1556	65	70	7278	133	2191	20	106	"phosphodiesterase 1A, calmodulin-dependent"
"Nptx2"	397	50	0	0	10	858	42	2	0	0	504	104	4	3	18	"neuronal pentraxin 2"
"Trim5"	5	62	13	34	25	16	387	31	50	280	0	0	0	0	2	"tripartite motif-containing 5"
"H2-Eb1"	19	2695	748	248	3308	20	19642	1444	1201	7030	8	10375	783	394	3777	"histocompatibility 2, class II antigen E beta"
"Gstp1"	583	2915	1254	31210	424	456	2055	445	18368	405	232	1077	540	11955	398	"glutathione S-transferase, pi 1"
"Nuggc"	3	53	15	327	7	1	179	6	6	10	8	138	6	525	3	"nuclear GTPase, germinal center associated"
"Ksr2"	2164	10	757	5	8	2336	20	570	32	5	2928	6	741	20	2	"kinase suppressor of ras 2"
"Ces1e"	0	1497	2110	18676	353	0	1820	2415	8287	227	0	1584	1773	10224	208	"carboxylesterase 1E"
"Cytl1"	9	13	13	1	806	4	40	14	1	227	8	52	10	0	177	"cytokine-like 1"
"Tubb3"	5751	57	1	0	3	6935	97	1	1	4	4842	113	2	6	2	"tubulin, beta 3 class III"
"Calml3"	0	0	17	0	135	0	0	31	2	154	0	0	81	0	64	"calmodulin-like 3"
"Numbl"	1317	79	36	21	393	2217	114	63	44	288	2532	194	97	29	705	"numb-like"
"Sorcs3"	1071	14	52	1	1	1276	2	49	0	0	912	2	43	0	1	"sortilin-related VPS10 domain containing receptor 3"
"Zkscan7"	134	232	517	1518	316	120	162	439	503	217	124	148	325	3301	206	"zinc finger with KRAB and SCAN domains 7"
"Aox1"	167	35	38	9366	2138	215	31	81	5881	1143	148	35	28	3637	983	"aldehyde oxidase 1"
"Slc22a28"	0	0	731	679	0	0	0	1813	308	1	0	0	599	597	0	"solute carrier family 22, member 28"
"Gm8730"	13	65	24	35	165	3	12	5	5	14	44	529	81	128	113	"ribosomal protein, large, P0 pseudogene"
"Klk1"	1	367	4055	2	26	1	23373	14031	2	22	2	8368	2139	3	2	"kallikrein 1"
"Srrm4"	1055	7	15	142	5	1147	12	10	231	1	1905	8	10	299	5	"serine/arginine repetitive matrix 4"
"Prr36"	915	8	13	45	77	670	23	12	31	43	1192	8	8	29	90	"proline rich 36"
"ND4L"	258	152	819	306	107	60	18	1085	125	3	284	185	2897	484	9	"NADH dehydrogenase subunit 4L"
"Cyp4a10"	0	284	1209	342	0	0	108	4224	2549	0	0	413	552	386	0	"cytochrome P450, family 4, subfamily a, polypeptide 10"
"Trim12a"	0	0	0	0	0	52	1463	210	262	840	0	0	0	0	0	"tripartite motif-containing 12A"
"Serpina3c"	7	0	4	11242	167	0	6	16	14	275	29	2	4	38633	98	"serine (or cysteine) peptidase inhibitor, clade A, member 3C"
"Zbtb16"	1077	46	75	160	365	811	25	98	336	154	2100	175	534	1650	5082	"zinc finger and BTB domain containing 16"
"Slc22a7"	13	77	8142	3020	0	8	0	6729	2132	0	15	0	10451	4182	1	"solute carrier family 22 (organic anion transporter), member 7"
"Gm10222"	33	15	25	16	121	8	12	23	10	3	145	102	875	258	1	"predicted gene 10222"
"Macrod2"	1432	33	4645	84	26	1420	68	4929	67	103	1010	35	7524	67	28	"mono-ADP ribosylhydrolase 2"
"Apol9b"	1	29	5	450	3	2	513	13	2638	20	0	125	4	1285	6	"apolipoprotein L 9b"
"Gmnc"	46	1	9	0	158	35	0	3	0	120	28	0	14	0	34	"geminin coiled-coil domain containing"
"Gpr88"	640	15	528	0	42	1374	5	13	0	18	445	27	37	0	40	"G-protein coupled receptor 88"
"Adgrv1"	90	90	30	4738	63	79	29	23	66	47	53	73	26	748	32	"adhesion G protein-coupled receptor V1"
"Hba-a2"	1	0	1	0	61	44	43	118	158	1862	0	0	0	0	37	"hemoglobin alpha, adult chain 2"
"Nlrp1b"	5	25	18	22	84	15	501	27	39	88	3	396	4	6	17	"NLR family, pyrin domain containing 1B"
"Wfdc16"	0	0	78	2	45	0	9	61	3	42	0	0	142	0	25	"WAP four-disulfide core domain 16"
"Ren1"	3	20	1231	34	1	2	2	1273	1	0	2	60	3208	29	13	"renin 1 structural"
"Tmem253"	16	1378	49	46	15	28	1789	50	113	18	37	1984	67	110	14	"transmembrane protein 253"
"Gm7457"	42	41	301	7	3	12	45	67	4	0	17	56	55	6	1	"predicted gene 7457"
"H2-Bl"	65	4952	37	373	27	17	2082	10	24	4	0	77	53	52	5	"histocompatibility 2, blastocyst"
"H2-Ab1"	11	3421	998	358	5197	10	26316	1470	1381	5140	20	9900	842	316	5389	"histocompatibility 2, class II antigen A, beta 1"
"Cyp4f15"	187	66	34	4442	261	254	34	25	7843	153	309	154	28	4438	173	"cytochrome P450, family 4, subfamily f, polypeptide 15"
"Tldc2"	1	271	66	1	2	2	250	110	0	3	0	267	55	0	3	"TBC/LysM associated domain containing 2"
"Rdh16f2"	1	230	295	1399	0	0	435	518	2811	1	2	198	479	1299	0	"RDH16 family member 2"
"Ccl28"	114	1510	12073	7	30	36	569	2368	4	11	5	871	2256	0	3	"chemokine (C-C motif) ligand 28"
"Cyp2c68"	1	565	0	1793	0	0	1857	6	5001	0	0	350	0	1204	0	"cytochrome P450, family 2, subfamily c, polypeptide 68"
"Grem1"	89	664	2	0	19	76	640	2	1	4	78	971	8	0	10	"gremlin 1, DAN family BMP antagonist"
"Fibin"	129	57	33	19	647	54	89	70	12	1518	53	83	57	20	1231	"fin bud initiation factor homolog (zebrafish)"
"Glo1-ps"	101	107	64	546	357	1	0	1	1	1	170	277	87	1671	16	"glyoxalase 1, pseudogene"
"Acsf2"	117	1343	163	2862	231	186	2503	475	7888	361	70	769	126	3057	439	"acyl-CoA synthetase family member 2"
"Ass1"	181	44	13690	21651	109	199	120	30332	75952	215	84	81	8106	21309	160	"argininosuccinate synthetase 1"
"Igkv8-27"	0	548	34	2	26	0	3513	4	3	40	0	188	0	0	3	"immunoglobulin kappa chain variable 8-27"
"Ighg2c"	0	77	18	6	49	64	299	6	3	5	2	340	0	0	4	"immunoglobulin heavy constant gamma 2C"
"Ankrd63"	329	10	2	0	22	725	45	2	0	312	362	25	0	3	3	"ankyrin repeat domain 63"
"Ankrd65"	1	1	159	0	123	3	0	97	0	52	0	0	0	0	37	"ankyrin repeat domain 65"
"Zfp990"	57	161	78	34	102	1	0	1	0	0	6	0	8	6	1	"zinc finger protein 990"
"Gm6614"	0	0	61	688	0	2	0	49	11	0	0	0	55	55	0	"predicted gene 6614"
"Klrb1b"	1	47	10	4	121	0	48	2	3	89	0	0	0	0	31	"killer cell lectin-like receptor subfamily B member 1B"
"C1s2"	5	31	11	455	33	6	0	10	1	10	9	35	12	612	50	"complement component 1, s subcomponent 2"
"H2-DMb1"	18	250	113	10	386	18	2452	264	101	776	5	702	28	26	453	"histocompatibility 2, class II, locus Mb1"
"Prrt4"	54	2	7	0	108	63	5	4	0	147	73	4	8	0	283	"proline-rich transmembrane protein 4"
"Gm2199"	7	29	6	13	77	1	6	1	1	0	64	263	172	223	3	"mitochondrial carrier homolog 2 pseudogene"
"Gm12009"	12	19	24	16	48	2	3	1	11	15	46	85	237	238	16	"eukaryotic translation elongation factor pseudogene"
"B430010I23Rik"	15	47	45	50	113	2	287	19	25	831	3	56	35	32	39	"RIKEN cDNA B430010I23 gene"
"Sbk3"	59	0	3	0	66	53	2	6	0	145	79	6	6	3	269	"SH3 domain binding kinase family, member 3"
"Gm12781"	3	1	85	204	3	2	0	44	142	6	6	8	47	55	0	"predicted gene 12781"
"4930481A15Rik"	5	8	11	13	23	50	213	311	424	117	12	17	4	3	41	"RIKEN cDNA 4930481A15 gene"
"Ugt1a8"	0	118	178	41	0	0	2	0	6	0	0	56	30	107	1	"UDP glucuronosyltransferase 1 family, polypeptide A8"
"Ugt1a1"	0	1809	11	1639	3	0	1259	4	5239	3	0	1423	2	3101	3	"UDP glucuronosyltransferase 1 family, polypeptide A1"
"Ugt1a7c"	3	6689	1320	119	97	5	5018	5734	35	76	2	2844	822	90	59	"UDP glucuronosyltransferase 1 family, polypeptide A7C"
"Ugt1a9"	0	718	178	5086	0	0	74	0	945	0	0	310	193	6926	0	"UDP glucuronosyltransferase 1 family, polypeptide A9"
"Eif4ebp3"	3	19	57	344	7	14	35	20	201	6	12	19	65	760	19	"eukaryotic translation initiation factor 4E binding protein 3"
"1810064F22Rik"	2	8	2	2238	45	0	28	3	134	52	0	15	2	93	46	"RIKEN cDNA 1810064F22 gene"
